Atlanta Hawks, Mike Budenholzer,1,Southeast +G,	24,	Bazemore, Kent,	6 ft 5 in, 201 lb,1989-07-01,	Old Dominion+G,	10,	Hardaway Jr., Tim,	6 ft 6 in,	205 lb,1992-03-16,	Michigan+F,	7,	Holiday, Justin,	6 ft 6 in, 185 lb,	1989-04-05,	Washington+F/C,	15,	Horford, Al,	6 ft 9 in, 245 lb, 1986-06-03,	Florida+G/F,	26,	Korver, Kyle,	6 ft 7 in, 212 lb,	1981-03-17,	Creighton+G,	8,	Mack, Shelvin,	6 ft 3 in, 203 lb,	1990-04-22,	Butler+F,	4,	Millsap, Paul, 6 ft 7 in,	246 lb,	1985-02-10,	Louisiana Tech+F/C,	31,	Muscala, Mike,	6 ft 11 in,	240 lb, 1991-07-01,	Bucknell+G/F,	13,	Patterson, Lamar,	6 ft 5 in,	225 lb,	1991-08-12,Pittsburgh+G,	17,	Schröder, Dennis,	6 ft 0 in, 172 lb,	1993-09-15,	Germany+F,	32,	Scott, Mike,	6 ft 8 in, 237 lb, 1988-07-16,	Virginia+G/F,	25,	Sefolosha, Thabo,	6 ft 7 in,	220 lb, 1984-05-02,	Switzerland+C,	11,	Splitter, Tiago,	6 ft 11 in, 245 lb,	1985-01-01,	Brazil+C,	22,	Tavares, Walter,	7 ft 3 in, 260 lb, 1992-03-22,	Cape Verde+G,	0,	Teague, Jeff, 6 ft 2 in, 186 lb, 1988-06-10,	Wake Forest
Boston Celtics, Brad Stevens,1,Atlantic  + G,0,Bradley, Avery,6 ft 2 in,180 lb,	1990-11-26,	Texas + F,	99,	Crowder, Jae,	6 ft 6 in, 	235 lb,	1990-07-06,	Marquette,+G,	28,	Hunter, R. J.,	6 ft 5 in, 185 lb,	1993-10-24,	Georgia State + F,	8,	Jerebko, Jonas,	6 ft 10 in,	231 lb,	1987-03-02	,Sweden+F,	90,	Johnson, Amir,	6 ft 9 in,	240 lb,	1987-05-01,	Westchester HS (CA)+F,	42,	Lee, David,	6 ft 9 in,245 lb ,	1983-04-29,	Florida+F,	55,	Mickey, Jordan,	6 ft 8 in,	235 lb,1994-07-09,	LSU+F/C,	41,	Olynyk, Kelly,	7 ft 0 in,	238 lb,	1991-04-19	,Gonzaga+G,	12,	Rozier, Terry,	6 ft 2 in,	190 lb,	1994-03-17	,Louisville+G,	36,	Smart, Marcus,	6 ft 4 in ,	220 lb,	1994-03-06	,Oklahoma State+F/C,	7,	Sullinger, Jared,	6 ft 9 in,	260 lb,1992-03-04,	Ohio State+G,	4,	Thomas, Isaiah,	5 ft 9 in,	185 lb,	1989-02-07	,Washington+G/F,	11,	Turner, Evan,	6 ft 7 in,	220 lb,	1988-10-27	,Ohio State+G/F,	13,	Young, James,	6 ft 6 in,	215 lb,	1995-08-16	,Kentucky+C,	44,	Zeller, Tyler,	7 ft 0 in,	253 lb,	1990-01-17	,North Carolina
Brooklyn Nets, Tony Brown,1,Atlantic +F/C,9,Bargnani, Andrea,7 ft 0 in,245 lb,1985-10-26,Italy+G/F,44,Bogdanović, Bojan,6 ft 8 in,216 lb,1989-04-18,Croatia+G,22,Brown, Markel,6 ft 4 in,190 lb,1992-01-29,Oklahoma State+G,21,Ellington, Wayne,6 ft 4 in,200 lb,1987-11-29,North Carolina+F,24,Hollis-Jefferson, Rondae ￼,6 ft 7 in,220 lb,1995-01-03,Arizona+G,2,Jack, Jarrett ￼,6 ft 3 in,200 lb,1983-10-28,Georgia Tech+G/F,7,Johnson, Joe, 6 ft 7 in,240 lb,1981-06-29,Arkansas+G/F,10,Karasev, Sergey,6 ft 7 in,208 lb,1993-10-26,Russia+G,0,Larkin, Shane,5 ft 11 in,175 lb,1992-10-02,Miami (FL)+C,11,Lopez, Brook,7 ft 0 in,275 lb,1988-04-01,Stanford+F,1,McCullough, Chris,6 ft 11 in,200 lb,1995-02-05,Syracuse+F/C,33,Reed, Willie,6 ft 10 in,220 lb,1990-05-16,Saint Louis+F,41,Robinson, Thomas,6 ft 10 in,237 lb,1991-03-17,Kansas+G,15,Sloan, Donald,6 ft 3 in,205 lb,1988-01-15,Texas A&M+F,30,Young, Thaddeus,6 ft 8 in,221 lb,1988-06-21,Georgia Tech
Charlotte Hornets, Steve Clifford,1,Southeast+G/F,	5,	Batum, Nicolas,	6 ft 8 in, 200 lb, 1988-12-14,	France+G,	30,	Daniels, Troy,	6 ft 4 in, 205 lb, 1991-07-15,	Virginia Commonwealth+G/F,	19,	Hairston, P. J.,	6 ft 6 in, 230 lb, 1992-12-24,	North Carolina+F,	50,	Hansbrough, Tyler,	6 ft 9 in, 250 lb, 1985-11-03,	North Carolina+G,	9,	Harrison, Aaron,	6 ft 6 in, 210 lb, 1994-10-28,	Kentucky+C,	00,	Hawes, Spencer,	7 ft 1 in, 245 lb,	1988-04-28,	Washington+C,	25,	Jefferson, Al,	6 ft 10 in, 289 lb, 1985-01-04,	Prentiss HS (MS)+F/C,	44,	Kaminsky, Frank,	7 ft 0 in, 240 lb, 1993-04-04,	Wisconsin+F,	14,	Kidd-Gilchrist, Michael,	6 ft 7 in,	232 lb, 1993-09-26,	Kentucky+G,	3,	Lamb, Jeremy,	6 ft 5 in, 185 lb, 1992-05-30,	Connecticut+G,	7,	Lin, Jeremy,	6 ft 3 in,	200 lb, 1988-08-23,	Harvard+G,	22,	Roberts, Brian,	6 ft 1 in, 173 lb,	1985-12-03,	Dayton+G,	15,	Walker, Kemba, 	6 ft 1 in, 184 lb, 1990-05-08,	Connecticut+F,	2,	Williams, Marvin,	6 ft 9 in, 	237 lb, 1986-06-19,	North Carolina+F/C,	40,	Zeller, Cody,	7 ft 0 in,	240 lb, 1992-10-05,	Indiana
Chicago Bulls, Fred Hoiberg,1,Central+F/C,	41,	Bairstow, Cameron,	6 ft 10 in,	250 lb,	1990-12-07,	New Mexico+G,	0,	Brooks, Aaron,	6 ft 0 in, 161 lb,	1985-01-14,	Oregon+G/F,	21,	Butler, Jimmy,	6 ft 7 in,	220 lb ,	1989-09-14,	Marquette+G/F,	34,	Dunleavy, Mike,	6 ft 9 in,	230 lb,	1980-09-15,	Duke+F/C,	6,	Felício, Cristiano,	6 ft 10 in,	275 lb,	1992-07-07,	CCSE Prep (CA)+F/C,	16,	Gasol, Pau,	7 ft 0 in,	250 lb,	1980-07-06,	Spain+F/C,	22,	Gibson, Taj,	6 ft 9 in,	225 lb,	1985-06-24,	Southern California+G,	12,	Hinrich, Kirk,	6 ft 4 in,	190 lb,	1981-01-02,	Kansas+F,	3,	McDermott, Doug,	6 ft 8 in,	225 lb,	1992-01-03,	Creighton+F,	44,	Mirotić, Nikola,	6 ft 10 in,	220 lb,	1991-02-11,	Spain+G,	55,	Moore, E'Twaun,	6 ft 4 in,	191 lb, 1989-02-25,	Purdue+C,	13,	Noah, Joakim, 6 ft 11 in, 232 lb,	1985-02-25,	Florida+F,	5,	Portis, Bobby,	6 ft 11 in,	230 lb,	1995-02-10,	Arkansas+G,	1,	Rose, Derrick,	6 ft 3 in, 190 lb, 	1988-10-04,	Memphis+G/F,	20,	Snell, Tony,	6 ft 7 in,	200 lb,	1991-11-10,	New Mexico
Cleveland Cavaliers, Tyronn Lue,1,Central +G,	9,	Cunningham, Jared,	6 ft 4 in,	195 lb,	1991-05-22,	Oregon State+G,	8,	Dellavedova, Matthew,	6 ft 4 in, 198 lb,	1990-09-08,	Saint Mary's+G,	2,	Irving, Kyrie,	6 ft 3 in,	193 lb,	1992-03-23,	Duke+F,	23,	James, LeBron,	6 ft 8 in,	250 lb,	1984-12-30,	St. Vincent-St. Mary HS (OH)+F,	24,	Jefferson, Richard,	6 ft 7 in, 233 lb,	1980-06-21,	Arizona+G/F,	1,	Jones, James,	6 ft 8 in,	218 lb,	1980-10-04,	Miami (FL)+C,	14,	Kaun, Sasha,	6 ft 11 in,	260 lb,	1985-05-08,	Kansas+F/C,	0,	Love, Kevin,	6 ft 10 in,	251 lb,	1988-09-07,	UCLA+G,	4,	Shumpert, Iman,	6 ft 5 in, 220 lb,	1990-06-26,	Georgia Tech+G/F,	5,	Smith, J. R.,	6 ft 6 in,	225 lb,	1985-09-09,	St. Benedict's Prep (NJ)+F/C,13,	Thompson, Tristan,	6 ft 9 in,	238 lb,	1991-03-13,	Texas+F/C,	17,	Varejão, Anderson,	6 ft 11 in, 273 lb,	1982-09-28,	Brazil+G,	52,	Williams, Mo,	6 ft 1 in,	198 lb,	1982-12-19,	Alabama
Dallas Mavericks, Rick Carlisle,2,Southwest + G/F,	1,	Anderson, Justin,	6 ft 6 in, 228 lb, 1993-11-19,	Virginia + G,	5,	Barea, José Juan,	6 ft 0 in, 185 lb, 1984-06-26,	Northeastern+F,	21,	Evans, Jeremy,	6 ft 9 in, 200 lb, 1987-10-24,	Western Kentucky+G,	2,	Felton, Raymond,	6 ft 1 in, 205 lb, 1984-06-26,	North Carolina+G,	34,	Harris, Devin,	6 ft 3 in, 185 lb, 1983-02-27,	Wisconsin+G,	12,	Jenkins, John,	6 ft 4 in, 215 lb, 1991-03-06,	Vanderbilt+G,	23,	Matthews, Wesley,	6 ft 5 in, 220 lb,1986-10-14,	Marquette+C,	11,	McGee, JaVale,	7 ft 0 in, 270 lb,1988-01-19,	Nevada+C,	50,	Mejri, Salah,	7 ft 2 in, 245 lb,1986-06-15,	Tunisia+F,	41,	Nowitzki, Dirk, 	7 ft 0 in, 245 lb, 1978-06-19,	Germany+F/C,	27,	Pachulia, Zaza, 6 ft 11 in, 275 lb, 1984-02-10,	Georgia+F,	25,	Parsons, Chandler,	6 ft 10 in, 230 lb,1988-10-25,	Florida+F,	7,	Powell, Dwight,	6 ft 11 in, 240 lb, 1991-07-20,	Stanford+F,	3,	Villanueva, Charlie,	6 ft 11 in, 232 lb, 1984-08-24,	Connecticut+G,	8,	Williams, Deron,	6 ft 3 in, 200 lb, 1984-06-26,	Illinois
Denver Nuggets, Michael Malone,2,Northwest+F,	00,	Arthur, Darrell,	6 ft 9 in, 235 lb,1988-03-25,	Kansas+G,	5,	Barton, Will,	6 ft 6 in, 175 lb, 1991-01-06,	Memphis+F,	21,	Chandler, Wilson,	6 ft 8 in,	225 lb,	1987-05-10,	DePaul+F,	35,	Faried, Kenneth,	6 ft 8 in, 228 lb, 	1989-11-19,	Morehead State+G,	4,	Foye, Randy,	6 ft 4 in, 213 lb, 1983-09-24,	Villanova+F,	8,	Gallinari, Danilo,	6 ft 10 in, 225 lb, 1988-08-08,	Italy+G,	14,	Harris, Gary,	6 ft 4 in, 210 lb, 1994-09-14,	Michigan State+F/C,	7,	Hickson, JJ,	6 ft 9 in, 242 lb, 1988-09-04,	North Carolina State+C,	15,	Jokić, Nikola,	6 ft 11 in, 250 lb, 1995-02-19,	Serbia+G,	6,	Kilpatrick, Sean,	6 ft 4 in, 210 lb ,1990-01-06,	Cincinnati+F/C,	77,	Lauvergne, Joffrey,	6 ft 11 in, 220 lb, 1991-09-30,	France+G/F,	3,	Miller, Mike,	6 ft 8 in, 218 lb ,1980-02-19,	Florida+G,	0,	Mudiay, Emmanuel,	6 ft 5 in,	200 lb, 1996-03-05,	Prime Prep Academy (TX)+G,	1,	Nelson, Jameer,	6 ft 0 in, 190 lb, 1982-02-09,	Saint Joseph's+C,	23,	Nurkić, Jusuf,	6 ft 11 in, 280 lb, 1994-08-23,	Bosnia and Herzegovina
Detroit Pistons, Stan Van Gundy,1,Central+C,	50,	Anthony, Joel,	6 ft 9 in,	245 lb,	1982-08-09,	UNLV+F/C,	12,	Baynes, Aron,	6 ft 10 in, 260 lb, 1986-12-09,	Washington State+G,	22,	Blake, Steve,	6 ft 3 in,	172 lb, 1980-02-26,	Maryland+F,	25,	Bullock, Reggie,	6 ft 7 in,	205 lb,	1991-03-16,	North Carolina+G,	5,	Caldwell-Pope, Kentavious,	6 ft 5 in, 	205 lb,	1993-02-18,	Georgia+G,	8,	Dinwiddie, Spencer,	6 ft 6 in,	200 lb,	1993-04-06,	Colorado+C,	0,	Drummond, Andre,	6 ft 11 in, 279 lb,	1993-08-10,	Connecticut+G/F,	6,	Hilliard, Darrun,	6 ft 6 in,	205 lb,	1993-04-13,	Villanova+F,	23,	İlyasova, Ersan,	6 ft 10 in,	235 lb,	1987-05-15,	Turkey+G,	1,	Jackson, Reggie,	6 ft 3 in,	208 lb,	1990-04-16,	Boston College+G,	7,	Jennings, Brandon,	6 ft 1 in,	169 lb,	1989-09-23,	Oak Hill Academy (VA)+F,	3,	Johnson, Stanley,	6 ft 7 in, 245 lb, 1996-05-29,	Arizona+G,	20,	Meeks, Jodie,	6 ft 4 in, 	210 lb,	1987-08-21,	Kentucky+F,	13,	Morris, Marcus,	6 ft 9 in, 	235 lb,	1989-09-02,	Kansas+F,	43,	Tolliver, Anthony,	6 ft 8 in, 240 lb, 1985-06-01,	Creighton
Golden State Warriors, Steve Kerr,2,Pacific+G,	19,	Barbosa, Leandro,	6 ft 3 in, 194 lb, 1982-11-28,	Brazil+F,	40,	Barnes, Harrison,	6 ft 8 in, 225 lb, 1992-05-30,	North Carolina+C,	12,	Bogut, Andrew, 7 ft 0 in, 260 lb, 1984-11-28,	Utah+G,	30,	Curry, Stephen, 6 ft 3 in, 190 lb, 1988-03-14,	Davidson+C,	31,	Ezeli, Festus,	6 ft 11 in, 265 lb, 1989-10-21,	Vanderbilt+F,	23,	Green, Draymond,	6 ft 7 in, 230 lb, 1990-03-04,	Michigan State+G/F,	9,	Iguodala, Andre, 6 ft 6 in, 215 lb,1984-01-28,	Arizona+G,	34,	Livingston, Shaun,	6 ft 7 in, 192 lb, 1985-09-11,	Peoria Central HS (IL)+F,	36,	Looney, Kevon,	6 ft 9 in, 220 lb, 1996-02-06,	UCLA+F,	20,	McAdoo, James Michael,	6 ft 9 in, 240 lb, 1993-01-04,	North Carolina+G/F,	4,	Rush, Brandon,	6 ft 6 in, 220 lb, 1985-07-07,	Kansas+F/C,	5,	Speights, Marreese,	6 ft 10 in, 255 lb, 1987-08-04,	Florida+F/C,	1,	Thompson, Jason,	6 ft 11 in, 250 lb, 1986-07-21,	Rider+G,	11,	Thompson, Klay,	6 ft 7 in ,215 lb, 1990-02-08,	Washington State
